Opis wizyty,Marka,Model,Rok,Silnik,Czas naprawy (godz.)
Diagnostyka komputerowa,Audi,A3,2020,1.6 Diesel,0.76
Diagnostyka komputerowa,Audi,A3,2019,2.0 Benzyna,0.72
Naprawa układu chłodzenia,Audi,A6,2017,2.0 Benzyna,3.68
Wymiana świec zapłonowych,Audi,A6,2019,1.6 Diesel,1.17
Regeneracja turbiny,Audi,A3,2013,2.2 Diesel,4.85
Usunięcie usterek elektronicznych,Honda,Accord,2017,1.5 Diesel,1.16
Diagnostyka komputerowa,Audi,A4,2008,1.5 Diesel,0.69
Diagnostyka komputerowa,Audi,Q5,2017,1.4 Benzyna,0.79
Naprawa układu kierowniczego,Honda,Accord,2014,1.5 Diesel,4.22
Wymiana akumulatora,Honda,Accord,2010,1.0 Benzyna,0.54
Naprawa układu kierowniczego,Honda,CR-V,2008,1.5 Diesel,3.71
Regulacja zbieżności kół,Audi,A3,2010,1.5 Diesel,1.07
Naprawa układu klimatyzacji,Audi,A3,2008,1.8 Benzyna,2.71
Wymiana świec zapłonowych,Audi,A3,2015,1.4 Benzyna,0.61
Naprawa układu kierowniczego,Honda,Accord,2019,1.5 Diesel,3.9
Wymiana rozrządu,Honda,Accord,2018,1.4 Benzyna,3.84
Wymiana tarcz hamulcowych,Audi,A4,2016,2.2 Diesel,1.67
Wymiana sprzęgła,Honda,Civic,2014,1.4 Benzyna,4.41
Wymiana tarcz hamulcowych,Honda,Accord,2011,1.5 Diesel,2.19
Usunięcie usterek elektronicznych,Honda,Accord,2015,1.5 Diesel,1.15
Naprawa układu chłodzenia,Honda,Accord,2020,1.6 Diesel,3.33
Wymiana klocków hamulcowych,Audi,Q5,2011,1.6 Benzyna,1.03
Wymiana oleju silnikowego i filtra,Honda,Civic,2019,1.6 Benzyna,0.8
Wymiana łożyska koła,Honda,CR-V,2010,1.8 Benzyna,2.25
Wymiana tarcz hamulcowych,Audi,A3,2020,3.0 Diesel,1.59
Wymiana łożyska koła,Honda,Accord,2015,1.5 Diesel,2.73
Wymiana filtrów,Honda,CR-V,2006,1.5 Diesel,0.97
Wymiana opon,Honda,Civic,2014,1.0 Benzyna,0.58
Regeneracja turbiny,Audi,A6,2009,1.0 Benzyna,5.32
Wymiana oleju silnikowego i filtra,Audi,A4,2005,1.0 Benzyna,0.61
Wymiana rozrządu,Audi,A6,2018,1.4 Benzyna,4.11
Wymiana amortyzatorów,Audi,Q5,2005,1.6 Diesel,2.56
Wymiana łożyska koła,Audi,A4,2006,1.6 Benzyna,2.88
Regulacja zbieżności kół,Honda,Accord,2012,1.8 Benzyna,0.74
Naprawa układu wydechowego,Honda,Civic,2011,1.2 Benzyna,2.92
Regulacja zbieżności kół,Audi,A3,2007,1.6 Diesel,0.96
Naprawa układu klimatyzacji,Honda,Civic,2007,2.2 Diesel,3.92
Wymiana tarcz hamulcowych,Honda,Civic,2013,2.0 Benzyna,2.2
Wymiana opon,Honda,Accord,2021,2.2 Diesel,0.59
Diagnostyka komputerowa,Audi,A4,2020,1.8 Benzyna,0.78
Naprawa układu chłodzenia,Audi,A6,2015,2.0 Diesel,2.06
Wymiana akumulatora,Honda,Civic,2012,3.0 Diesel,0.67
Regulacja zbieżności kół,Honda,Accord,2021,1.4 Benzyna,0.98
Wymiana amortyzatorów,Audi,A3,2010,1.0 Benzyna,3.61
Naprawa układu kierowniczego,Audi,A3,2015,1.2 Benzyna,4.4
Wymiana opon,Honda,Accord,2009,2.2 Diesel,0.9
Diagnostyka komputerowa,Audi,A6,2018,1.2 Benzyna,0.5
Wymiana filtrów,Honda,CR-V,2008,1.2 Benzyna,0.94
Regulacja zbieżności kół,Honda,Accord,2006,1.2 Benzyna,0.62
